correo,empresa,sector,prioridad,estado,fecha_envio,notas
andresparra192010@gmail.com,Carmelita,Restaurante,1,,,
rest_naturalmente@hotmail.com,Vegetariano Naturalmente,Restaurante,1,,,
licitacionesingeco2019@gmail.com,Fénix,Panadería,1,,,
mercadeo.dilucca@dlksa.net,Di Lucca,Restaurante,1,,,
servicioalcliente@elcorralgourmet.com,Corral Gourmet,Restaurante,1,,,
tatiana.lozano182@gmail.com,La lupita,Restaurante,1,,,
smasmela179@gmail.com,Salsipuedes,Comida rápida,1,,,
restaurantetramontinagourmet@gmail.com,Restaurante Tramontina,Restaurante,1,,,
basesdedatos@andrescarnederes.com,Andrés Carne de Res,Restaurante,1,,,
marketing@toromccoy.com,Toro McCoy,Comida rápida,2,,,
servicioalcliente@mgpb.com.co,Gran Parrilla Boyacense,Restaurante,2,,,
inds_hevica@yahoo.com.mx,Industrias Metálicas HEVICA,Ferretería,2,,,
info@seveter.co,Servicentro Taller Seveter Perdomo,Taller de carros,2,,,
comercial@smplasticos.com,SM Plásticos SAS,Fabrica,2,,,
notlim71@hotmail.com,Almacen montaño Taller de Torno y soldaduras milton garcia,Taller de carros,2,,,
servicioalcliente@hornitos.co,Hornitos,Panadería,2,,,
lavacentromontecarlo@gmail.com,Lavacentro Montecarlo,Lavandería,2,,,
info@crystalproducts.org,Parabricentro Bogota,Taller de carros,2,,,
oficialdecumplimiento@cerealesselecta.com,Cosechas,Comida rápida,2,,,
estanzuela@parabricentro.com,Parabricentro Estanzuela,Taller de carros,2,,,
protecciondedatos@co.ab-inbev.com,Bogota Beer Company,Cafetería,2,,,
arteypasioncafe@gmail.com,Arte y Pasión Café,Cafetería,2,,,
ferchoriv@hotmail.com,El Saraviado,Carnicería,2,,,
ferreteriasurtillaves@hotmail.com,Ferretería Surtí Llaves,Ferretería,2,,,
marcharestaurantecafé@gmail.com,Marcha Restaurante Café,Restaurante,2,,,
chickbroaster@outlook.com,Chick Broaster,Restaurante,2,,,
santanderapicola@gmail.com,Sitio Casa Candelaria,Restaurante,2,,,
unisalle1@kaldiviacafe.com,Kaldivia Café,Comida rápida,2,,,
prudenciarestaurante@gmail.com,Prudencia,Restaurante,2,,,
info@cafedelafonda.com,Cafe de la Fonda,Cafetería,2,,,
nowgoal@gmail.com,T-Bone,Restaurante,2,,,
origencandelaria@outlook.com,Origen Bistro,Restaurante,2,,,
comunakoripampa1@hotmail.com,Embajada de la Coca Express,Cafetería,2,,,
correopablo@gmail.com,La Apuesta By Rausch,Restaurante,2,,,
bogota@helicoil-colombia.com,HeliCoil,Ferretería,2,,,
motoserviciosdecolombia@gmail.com,Moto Servicios De Colombia,Taller de carros,2,,,
info@clinicavasculardebogota.com,Clinica Vascular de Bogotá,Clínica,2,,,
oportopolloportugues@gmail.com,Oporto Pollo Portugués,Restaurante,2,,,
sindamanoyrestaurante@gmail.com,Syndamanoy,Restaurante,2,,,
info@templote.com,El Templo Té,Cafetería,2,,,
fund_licce@epilepsia.org,Fundación Liga Central Contra la Epilepsia,Clínica,2,,,
contacto@ferresegura.com.co,Segura Cerrajeria y Ferreteria,Ferretería,2,,,
granestacion@granestacion.com,Myriam Camhi,Panadería,2,,,
ferysegsas@gmail.com,Ferreteria y seguridad industrial Feryseg SAS,Ferretería,2,,,
grecolrestaurante@gmail.com,Salonika,Restaurante,2,,,
farmaciamercy@hotmail.com,Farmacia Homeopatic Mercy,Farmacia,2,,,
patria26@dlksa.net,Patria 26,Restaurante,2,,,
rensosaboryfusion@gmail.com,Renso sabor y fusión,Restaurante,2,,,
teescucha@aquaterra.com.co,AQUATERRA S.A.,Fabrica,2,,,
frencheeseburgerscol@gmail.com,Frencheese Burger,Comida rápida,2,,,
alotec@alotec.net,Alotec,Taller de carros,2,,,
